,gene_id,Gene name,description,Datasets with neurite TPM > 10,Mean TPM in neurites,Studies with neurite ribosome association,primary motor neurons B,neuroblastoma line CAD,Ascl1 induced neurons B,primary dorsal root ganglia,primary cortical neurons B,primary cortical neurons C,primary motor neurons C,neuroblastoma line N2A,hippocampal tissue B,hippocampal tissue C,iPSC derived motor neurons,Ascl1 induced neurons A,induced mixed neurons,hippocampal tissue A,cortical tissue,primary hippocampal neurons,primary cortical neurons A,primary motor neurons A,cortical growth cones,neuroblastoma line N1E,Zappulo2017_loc.translation,Shigeoka2016_loc.translation,Ouwenga2017_loc.translation,Ainsley2014_loc.translation
1,ENSMUSG00000029580,Actb,"actin, beta [Source:MGI Symbol;Acc:MGI:87904]",18,1201.026134,1,2839.318028,5298.700338,2597.221879,1803.247937,12249.54679,135.797865,904.7844688,5020.522133,54.3397013,1024.938758,2230.200716,2758.10168,1396.144591,801.4940472,,,,,76.45957797,,,,,0.012827663
2,ENSMUSG00000060126,Tpt1,"tumor protein, translationally-controlled 1 [Source:MGI Symbol;Acc:MGI:104890]",18,1106.494479,2,1711.079664,1467.025323,2283.875675,4763.282696,1482.843399,265.4596214,2756.171176,1244.217302,1140.120318,403.923047,1848.327641,1690.570712,331.2750021,326.8228153,,,,,794.4988648,,,0.952678921,,0.020078081
3,ENSMUSG00000032399,Rpl4,ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141],18,811.0329721,2,575.2290703,1604.533072,641.0937023,1096.551378,1807.609785,133.0099604,1205.836204,1664.818542,636.0655518,341.6621154,3336.350808,1154.382926,750.1052117,1058.283402,,,,,207.6582169,,,0.916699257,,0.012269939
4,ENSMUSG00000028639,Ybx1,Y box protein 1 [Source:MGI Symbol;Acc:MGI:99146],17,660.042734,0,2896.958014,556.3042997,1013.544587,1108.790104,862.0714292,168.7443607,2008.520144,682.4448305,263.1038387,146.5039966,2146.128671,336.8023216,1195.238906,653.6456307,,,,,250.0996978,,,,,
5,ENSMUSG00000061983,Rps12,ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:98105],17,635.1616805,1,88.8184896,6296.829579,4026.65875,2105.500864,677.9926075,307.7196123,1538.477553,2580.693062,513.3745058,128.7066564,1418.125684,1016.862074,177.6627521,178.9743989,,,,,92.83927359,,,,,0.083100948
6,ENSMUSG00000047675,Rps8,ribosomal protein S8 [Source:MGI Symbol;Acc:MGI:98166],17,616.475608,1,118.8377629,2357.822307,2180.924515,1414.46377,702.24976,218.0462169,795.9858562,2079.206802,570.7135472,246.7046334,2516.148137,1364.584457,93.42725082,326.8228153,,,,,218.3128087,,,0.866640594,,
7,ENSMUSG00000025393,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit [Source:MGI Symbol;Acc:MGI:107801]",17,577.6646777,2,240.9895587,3590.517474,358.4431071,562.4988189,1117.341346,478.6644356,873.194855,3131.318381,932.9224776,493.1829506,730.0792385,849.5399426,71.23664665,988.2499416,,,,,51.92864219,,,0.659757528,,0.297824875
8,ENSMUSG00000020849,Ywhae,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]",17,568.7678244,1,1565.530113,654.0160651,753.6192825,580.1490738,2417.440184,79.74715131,953.0287787,214.606162,997.7126534,331.157228,697.7501032,227.0151959,2964.066889,1089.409384,,,,,70.69538532,,,,,0.042387061
9,ENSMUSG00000029614,Rpl6,ribosomal protein L6 [Source:MGI Symbol;Acc:MGI:108057],17,538.4404392,0,224.0398111,3163.506258,1665.987168,1063.204758,1047.503221,120.4329415,562.0959935,2179.983828,371.9665734,120.8658323,1130.037476,1183.706657,362.0800877,420.2007626,,,,,52.20502281,,,,,
10,ENSMUSG00000057113,Npm1,nucleophosmin 1 [Source:MGI Symbol;Acc:MGI:106184],17,490.3419039,1,499.4010973,881.3076966,1073.391889,402.0067509,819.2277892,35.20205246,1451.040398,610.7360388,159.6565998,63.54640138,1197.505032,769.8524664,39002.8581,591.3936659,,,,,21.75078417,,,,,0.026770775
11,ENSMUSG00000052727,Map1b,microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778],17,489.705212,0,306.5571859,672.9591259,66.3765462,226.1441118,1277.215574,79.86023542,3945.533713,702.6050847,273.6907679,435.9494558,3965.398175,36.46351849,18638.09096,3190.413197,,,,,24.86674322,,,,,
12,ENSMUSG00000038274,Fau,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived) [Source:MGI Symbol;Acc:MGI:102547],17,390.9812103,1,280.2203842,2413.237253,1486.084005,1163.906218,1068.200254,87.01205376,346.2185467,1904.665549,720.3839381,95.33659776,334.8719659,678.5934892,117.1060246,140.0669209,,,,,41.55746843,,,,,0.273284997
13,ENSMUSG00000001175,Calm1,calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251],17,350.3951555,2,173.228719,157.4603189,504.2658166,135.5530203,1033.306425,63.7128998,857.6263347,195.3510647,3498.174032,785.6624617,732.2651441,246.3435642,107.9612782,1307.291261,,,,,102.4032833,,,0.737974189,,0.005577245
14,ENSMUSG00000028081,Rps3a1,ribosomal protein S3A1 [Source:MGI Symbol;Acc:MGI:1202063],17,349.4298549,2,76.40692633,805.1310147,277.2416881,876.8171463,1293.02948,85.0749366,1953.487235,792.9783945,524.1200671,122.0070846,806.5834527,755.4928258,63.76704717,116.7224341,,,,,191.2956695,,,0.868987094,,0.050752928
15,ENSMUSG00000026764,Kif5c,kinesin family member 5C [Source:MGI Symbol;Acc:MGI:1098269],17,259.3528845,1,223.3754791,99.82070702,197.6343918,380.1360655,202.7428997,107.6887388,1600.29906,127.8574582,226.3387762,514.8906931,1468.182209,56.48268927,77.95671126,1104.972376,,,,,,,,0.601095033,,
16,ENSMUSG00000047261,Gap43,growth associated protein 43 [Source:MGI Symbol;Acc:MGI:95639],17,192.1614387,0,165.3387923,401.0415065,126.2249624,140.3068866,558.3609559,170.6830419,608.9825836,162.0031242,213.3983164,22.59875784,121.3534203,16.7915003,1223.725515,536.9231966,,,,,252.3238851,,,,,
17,ENSMUSG00000074657,Kif5a,kinesin family member 5A [Source:MGI Symbol;Acc:MGI:109564],17,140.6612728,2,29.36253624,43.01326274,35.83450572,302.3343913,39.14576959,21.28649586,1225.930457,41.25996095,253.2411791,556.2116259,353.3936792,,320.1269428,918.2164812,,,,,,,0.944402705,0.412201799,,
18,ENSMUSG00000028964,Park7,"Parkinson disease (autosomal recessive, early onset) 7 [Source:MGI Symbol;Acc:MGI:2135637]",17,103.0217489,1,36.00928186,527.7838712,69.63476192,54.85312496,572.5048766,11.67806587,70.14885587,580.8243354,205.4535178,38.80891061,173.2501181,69.27453182,437.6872635,132.2854253,,,,,14.26435518,,,0.806022683,,
19,ENSMUSG00000025035,Arl3,ADP-ribosylation factor-like 3 [Source:MGI Symbol;Acc:MGI:1929699],17,69.58691747,0,55.39724394,108.9736527,57.38167072,44.53032743,235.7775096,33.01316998,55.93805539,70.90270572,230.3257151,48.66273679,89.47373846,12.47253613,72.71006234,427.9822582,,,,,23.43720745,,,,,
20,ENSMUSG00000008892,Vdac3,voltage-dependent anion channel 3 [Source:MGI Symbol;Acc:MGI:106922],17,60.89986139,0,24.9524914,28.26213408,23.56545905,41.18821369,227.8970883,13.63825655,113.0528013,47.70358991,221.6256921,14.07876974,189.4674787,42.91326316,219.0377688,739.2420823,,,,,12.47182751,,,,,
21,ENSMUSG00000037742,Eef1a1,eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881],16,2234.899523,2,2229.942746,9702.708131,346.2797464,8681.136885,6076.206042,100.0182114,6816.930042,7975.064193,,1673.945457,,8133.398648,,871.5275076,,,,,608.9429361,,,0.981228002,,0.003346347
22,ENSMUSG00000062825,Actg1,"actin, gamma, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:87906]",16,1055.28193,1,806.03303,3645.712516,2329.589597,1495.215291,3802.706635,252.5395328,1391.481757,4508.359883,1764.987122,367.9601072,2951.847402,1757.425014,421.5364107,521.3602054,,,,,49.09133852,,,0.712944857,,
23,ENSMUSG00000034994,Eef2,eukaryotic translation elongation factor 2 [Source:MGI Symbol;Acc:MGI:95288],16,951.8981938,2,641.152694,7675.951676,1190.875389,1541.923614,1376.507565,64.87373127,2491.234787,5353.96427,514.2901314,655.6725103,3269.538785,1403.072094,,1221.69481,,,,,24.65370363,,,,0.692810458,0.029559398
24,ENSMUSG00000007892,Rplp1,"ribosomal protein, large, P1 [Source:MGI Symbol;Acc:MGI:1927099]",16,802.6940259,2,168.3713543,6235.333002,1015.44011,2866.218081,1639.497897,493.518619,1329.117161,5400.108732,1999.588684,420.6764266,681.6688243,1282.339688,,178.9743989,,,,,19.7411558,,,0.752444271,,0.157278305
25,ENSMUSG00000071415,Rpl23,ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455],16,707.2741388,1,150.726597,1267.181525,3585.739596,1419.088886,977.101813,227.8259886,1611.703907,1448.48631,464.2664849,113.0305882,1553.746304,1275.029148,661.7190027,,,,,,225.5962845,,,,,0.572783045
26,ENSMUSG00000044533,Rps2,ribosomal protein S2 [Source:MGI Symbol;Acc:MGI:105110],16,648.4318336,0,582.405231,4586.575795,159.8113693,588.9642431,1160.438449,223.5515235,2810.932541,3417.41117,702.4788594,155.3193443,1252.130641,832.7934846,72.21142287,451.326745,,,,,,,,,,
27,ENSMUSG00000049517,Rps23,ribosomal protein S23 [Source:MGI Symbol;Acc:MGI:1913725],16,618.9320048,0,107.0262156,1854.106239,7437.798412,1243.461735,1194.644871,496.7303261,301.1422497,1719.448827,914.8311563,142.2035635,952.7460829,835.2572036,,93.37794724,,,,,222.0679891,,,,,
28,ENSMUSG00000024608,Rps14,ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107],16,572.9805676,1,181.6757449,2497.794178,2754.525157,1444.585453,2952.342589,66.29543442,741.4055206,1956.979032,661.0004997,45.80780514,1174.315758,1276.936684,,202.3188857,,,,,87.27515313,,,,,0.726715003
29,ENSMUSG00000001525,Tubb5,"tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]",16,549.6307812,0,728.6207242,3030.593842,789.3976639,848.2578446,1921.065793,63.56009939,568.2509899,2259.718266,460.9162775,189.8412774,1891.196032,731.6401046,146.5604511,,,,,,55.81575907,,,,,
30,ENSMUSG00000060036,Rpl3,ribosomal protein L3 [Source:MGI Symbol;Acc:MGI:1351605],16,536.7855394,2,125.1208273,2300.853614,638.8187643,844.6432405,1583.020273,102.6160734,1469.95796,1631.038137,493.4476223,104.7822186,1855.522541,760.6608705,56.46806106,661.4271263,,,,,,,,0.59601095,,0.605131065
31,ENSMUSG00000021270,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]",16,530.9907658,2,279.6090624,430.9579429,1032.35384,423.6047926,855.6698715,217.2695663,1976.568472,622.6227641,830.8142373,242.5866902,813.6079003,655.2829111,1189.329161,1750.836511,,,,,27.88203035,,,0.610481032,,0.183491355
32,ENSMUSG00000005610,Eif4g2,"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]",16,505.6043243,1,851.976153,168.9827876,1118.539457,710.0064001,851.474211,100.414763,1710.093334,256.7413901,358.552519,301.7182591,1535.379812,434.0445997,94.66091504,2435.608124,,,,,,,,0.960500587,,
33,ENSMUSG00000039001,Rps21,ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913731],16,499.9456694,1,115.113473,4876.104155,6923.699884,1319.329799,680.7052672,235.3602954,385.4113914,1649.054218,346.066425,187.638905,318.0090419,756.0134537,,85.59645164,,,,,87.35136819,,,0.094642159,,
34,ENSMUSG00000043716,Rpl7,ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073],16,480.8134553,2,77.13733571,1148.236141,692.5139153,819.1118802,1434.340719,116.0672649,1145.100872,784.7353685,539.0471422,82.98605881,1184.479845,1016.770323,557.7290906,,,,,,156.2680629,,,0.101290575,,0.105967652
35,ENSMUSG00000003429,Rps11,ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329],16,444.0605797,2,111.8846273,1078.446756,467.8661763,1186.244714,1078.98698,147.0246517,526.4332203,861.1955755,562.8035994,75.94425961,2624.775606,516.8861784,235.4290225,,,,,,176.3094837,,,0.786077434,,0.213608477
36,ENSMUSG00000041697,Cox6a1,cytochrome c oxidase subunit 6A1 [Source:MGI Symbol;Acc:MGI:103099],16,436.2871657,0,760.3243388,1166.023919,428.2482781,682.8572929,1258.559943,897.6588803,264.031242,834.8410139,1234.310818,679.2998305,114.5048963,180.3267784,,210.1003813,,,,,38.55144836,,,,,
37,ENSMUSG00000022285,Ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide [Source:MGI Symbol;Acc:MGI:109484]",16,417.8948769,1,375.9858401,369.4151191,375.5588542,331.9514008,1733.800023,65.54746533,435.284965,323.619218,632.2129408,425.0576936,718.7058776,329.6917705,2861.529231,949.3424636,,,,,43.17302725,,,,,0.240936977
