"","gene_name","gene_id"
"1","Abl","FBgn0000017"
"2","Cam","FBgn0000253"
"3","Pka-C1","FBgn0000273"
"4","chic","FBgn0000308"
"5","Dl","FBgn0000463"
"6","ed","FBgn0000547"
"7","ena","FBgn0000578"
"8","Actn","FBgn0000667"
"9","fog","FBgn0000719"
"10","Gbeta13F","FBgn0001105"
"11","Galphao","FBgn0001122"
"12","Khc","FBgn0001308"
"13","l(2)gl","FBgn0002121"
"14","dco","FBgn0002413"
"15","sti","FBgn0002466"
"16","Lam","FBgn0002525"
"17","polo","FBgn0003124"
"18","shi","FBgn0003392"
"19","sn","FBgn0003447"
"20","Btk29A","FBgn0003502"
"21","Tm1","FBgn0003721"
"22","fwd","FBgn0004373"
"23","N","FBgn0004647"
"24","mys","FBgn0004657"
"25","Mlc-c","FBgn0004687"
"26","cdi","FBgn0004876"
"27","Ggamma1","FBgn0004921"
"28","alpha-Cat","FBgn0010215"
"29","Gel","FBgn0010225"
"30","Rac1","FBgn0010333"
"31","Cdc42","FBgn0010341"
"32","Spn","FBgn0010905"
"33","cpb","FBgn0011570"
"34","Moe","FBgn0011661"
"35","tsr","FBgn0011726"
"36","Arp2","FBgn0011742"
"37","ctp","FBgn0011760"
"38","pnut","FBgn0013726"
"39","shot","FBgn0013733"
"40","Arf51F","FBgn0013750"
"41","Rac2","FBgn0014011"
"42","Rho1","FBgn0014020"
"43","Rab11","FBgn0015790"
"44","Rack1","FBgn0020618"
"45","Fim","FBgn0024238"
"46","Crk","FBgn0024811"
"47","moody","FBgn0025631"
"48","Cortactin","FBgn0025865"
"49","Mhcl","FBgn0026059"
"50","cib","FBgn0026084"
"51","siz","FBgn0026179"
"52","Akap200","FBgn0027932"
"53","seq","FBgn0028991"
"54","pod1","FBgn0029903"
"55","feo","FBgn0030241"
"56","mthl1","FBgn0030766"
"57","CG8726","FBgn0033244"
"58","Dg","FBgn0034072"
"59","Slik","FBgn0035001"
"60","RhoGAP71E","FBgn0036518"
"61","Mtl","FBgn0039532"
"62","Atx2","FBgn0041188"
"63","tral","FBgn0041775"
"64","mask","FBgn0043884"
"65","Pak3","FBgn0044826"
"66","CG30389","FBgn0050389"
"67","Unc-115a","FBgn0051352"
"68","smog","FBgn0051660"
"69","CG31715","FBgn0051715"
"70","CG32264","FBgn0052264"
"71","Mrtf","FBgn0052296"
"72","chinmo","FBgn0086758"
"73","psidin","FBgn0243511"
"74","beta-Spec","FBgn0250788"
"75","alpha-Spec","FBgn0250789"
"76","gish","FBgn0250823"
"77","Nedd4","FBgn0259174"
"78","C3G","FBgn0259228"
"79","Pka-R1","FBgn0259243"
"80","tal-1A","FBgn0259730"
"81","tal-2A","FBgn0259731"
"82","tal-3A","FBgn0259732"
"83","tal-AA","FBgn0259733"
"84","flr","FBgn0260049"
"85","rhea","FBgn0260442"
"86","p120ctn","FBgn0260799"
"87","capt","FBgn0261458"
"88","pico","FBgn0261811"
"89","Bsg","FBgn0261822"
"90","Msp300","FBgn0261836"
"91","Arp3","FBgn0262716"
"92","Src64B","FBgn0262733"
"93","hts","FBgn0263391"
"94","sick","FBgn0263873"
"95","spoon","FBgn0263987"
"96","Ack-like","FBgn0263998"
"97","Lst8","FBgn0264691"
"98","zip","FBgn0265434"
"99","coro","FBgn0265935"
"100","sau","FBgn0267378"
"101","Frl","FBgn0267795"
"102","Vps4","FBgn0283469"
"103","bru1","FBgn0000114"
"104","cta","FBgn0000384"
"105","flw","FBgn0000711"
"106","fz","FBgn0001085"
"107","if","FBgn0001250"
"108","kel","FBgn0001301"
"109","Arpc1","FBgn0001961"
"110","Mlc2","FBgn0002773"
"111","osp","FBgn0003016"
"112","Prm","FBgn0003149"
"113","spir","FBgn0003475"
"114","sqh","FBgn0003514"
"115","Tm2","FBgn0004117"
"116","up","FBgn0004169"
"117","mew","FBgn0004456"
"118","svr","FBgn0004648"
"119","bt","FBgn0005666"
"120","Myo61F","FBgn0010246"
"121","hep","FBgn0010303"
"122","cora","FBgn0010434"
"123","CG10939","FBgn0010620"
"124","dia","FBgn0011202"
"125","jar","FBgn0011225"
"126","l(2)efl","FBgn0011296"
"127","nuf","FBgn0013718"
"128","cher","FBgn0014141"
"129","Mlp84B","FBgn0014863"
"130","Pi3K68D","FBgn0015278"
"131","CanB2","FBgn0015614"
"132","sktl","FBgn0016984"
"133","CLIP-190","FBgn0020503"
"134","Pkn","FBgn0020621"
"135","Nup154","FBgn0021761"
"136","RhoGEF2","FBgn0023172"
"137","sns","FBgn0024189"
"138","WASp","FBgn0024273"
"139","DAAM","FBgn0025641"
"140","Rok","FBgn0026181"
"141","gukh","FBgn0026239"
"142","Pten","FBgn0026379"
"143","Kank","FBgn0027596"
"144","pigs","FBgn0029881"
"145","CG6891","FBgn0030955"
"146","Rab35","FBgn0031090"
"147","Arpc5","FBgn0031437"
"148","CG9426","FBgn0032485"
"149","Arpc2","FBgn0032859"
"150","wash","FBgn0033692"
"151","Ehbp1","FBgn0034180"
"152","CG10915","FBgn0034308"
"153","cpa","FBgn0034577"
"154","Cip4","FBgn0035533"
"155","Zasp66","FBgn0035917"
"156","RhoGAP68F","FBgn0036257"
"157","zye","FBgn0036985"
"158","Arfip","FBgn0037884"
"159","Arpc3A","FBgn0038369"
"160","RhoGAP92B","FBgn0038747"
"161","CG1674","FBgn0039897"
"162","conu","FBgn0039994"
"163","Vav","FBgn0040068"
"164","SCAR","FBgn0041781"
"165","sals","FBgn0051374"
"166","zormin","FBgn0052311"
"167","parvin","FBgn0052528"
"168","Mical","FBgn0053208"
"169","Lasp","FBgn0063485"
"170","tmod","FBgn0082582"
"171","CG34417","FBgn0085446"
"172","ALiX","FBgn0086346"
"173","Myo31DF","FBgn0086347"
"174","step","FBgn0086779"
"175","sls","FBgn0086906"
"176","CG33521","FBgn0250819"
"177","Mlp60A","FBgn0259209"
"178","CG42319","FBgn0259219"
"179","crb","FBgn0259685"
"180","kug","FBgn0261574"
"181","Gprk2","FBgn0261988"
"182","CG43658","FBgn0263706"
"183","jvl","FBgn0263929"
"184","CG43897","FBgn0264489"
"185","how","FBgn0264491"
"186","Mhc","FBgn0264695"
"187","Src42A","FBgn0264959"
"188","tn","FBgn0265356"
"189","Zasp52","FBgn0265991"
"190","Fhos","FBgn0266084"
"191","Svil","FBgn0266696"
"192","btsz","FBgn0266756"
"193","Myo81F","FBgn0267431"
"194","vib","FBgn0267975"
"195","wupA","FBgn0283471"
"196","tyn","FBgn0284435"
"197","cv-c","FBgn0285955"
