"","gene_name","gene_id","rpm"
"1","Abl","FBgn0000017",21.5
"2","Cam","FBgn0000253",618.766666666667
"3","Pka-C1","FBgn0000273",135.433333333333
"4","chic","FBgn0000308",899.7
"5","Dl","FBgn0000463",76
"6","ed","FBgn0000547",158.233333333333
"7","ena","FBgn0000578",37.2
"8","Actn","FBgn0000667",51.4333333333333
"9","fog","FBgn0000719",5.26666666666667
"10","Gbeta13F","FBgn0001105",698.066666666667
"11","Galphao","FBgn0001122",76.2
"12","Khc","FBgn0001308",10.9666666666667
"13","l(2)gl","FBgn0002121",76.7333333333333
"14","dco","FBgn0002413",18.2666666666667
"15","sti","FBgn0002466",16.4
"16","Lam","FBgn0002525",185.333333333333
"17","polo","FBgn0003124",60.1666666666667
"18","shi","FBgn0003392",30.2333333333333
"19","sn","FBgn0003447",99.0333333333333
"20","Btk29A","FBgn0003502",26.9
"21","Tm1","FBgn0003721",197.666666666667
"22","fwd","FBgn0004373",14.5666666666667
"23","N","FBgn0004647",55.1666666666667
"24","mys","FBgn0004657",24.8
"25","Mlc-c","FBgn0004687",79.1
"26","cdi","FBgn0004876",9.9
"27","Ggamma1","FBgn0004921",192.733333333333
"28","alpha-Cat","FBgn0010215",10.8333333333333
"29","Gel","FBgn0010225",4.86666666666667
"30","Rac1","FBgn0010333",23.6666666666667
"31","Cdc42","FBgn0010341",73.2666666666667
"32","Spn","FBgn0010905",12.0666666666667
"33","cpb","FBgn0011570",9.33333333333333
"34","Moe","FBgn0011661",81.5666666666667
"35","tsr","FBgn0011726",78.9
"36","Arp2","FBgn0011742",25.0333333333333
"37","ctp","FBgn0011760",242.133333333333
"38","pnut","FBgn0013726",21.0333333333333
"39","shot","FBgn0013733",28.6666666666667
"40","Arf51F","FBgn0013750",20.9333333333333
"41","Rac2","FBgn0014011",8.4
"42","Rho1","FBgn0014020",102.3
"43","Rab11","FBgn0015790",35.8333333333333
"44","Rack1","FBgn0020618",16.5
"45","Fim","FBgn0024238",8
"46","Crk","FBgn0024811",13.5666666666667
"47","moody","FBgn0025631",11.6666666666667
"48","Cortactin","FBgn0025865",7.26666666666667
"49","Mhcl","FBgn0026059",26.2
"50","cib","FBgn0026084",151.733333333333
"51","siz","FBgn0026179",16.2333333333333
"52","Akap200","FBgn0027932",136.433333333333
"53","seq","FBgn0028991",84.4333333333333
"54","pod1","FBgn0029903",209.066666666667
"55","feo","FBgn0030241",20
"56","mthl1","FBgn0030766",11.5
"57","CG8726","FBgn0033244",8
"58","Dg","FBgn0034072",52.2333333333333
"59","Slik","FBgn0035001",7.03333333333333
"60","RhoGAP71E","FBgn0036518",30.3
"61","Mtl","FBgn0039532",33.5
"62","Atx2","FBgn0041188",119.466666666667
"63","tral","FBgn0041775",98.9333333333333
"64","mask","FBgn0043884",118.633333333333
"65","Pak3","FBgn0044826",8.1
"66","CG30389","FBgn0050389",32.3
"67","Unc-115a","FBgn0051352",8.6
"68","smog","FBgn0051660",40.4
"69","CG31715","FBgn0051715",10.3
"70","CG32264","FBgn0052264",47.2
"71","Mrtf","FBgn0052296",53.1333333333333
"72","chinmo","FBgn0086758",669.066666666667
"73","psidin","FBgn0243511",7.83333333333333
"74","beta-Spec","FBgn0250788",113.433333333333
"75","alpha-Spec","FBgn0250789",34.6333333333333
"76","gish","FBgn0250823",55.9666666666667
"77","Nedd4","FBgn0259174",10.5
"78","C3G","FBgn0259228",4.9
"79","Pka-R1","FBgn0259243",8.96666666666667
"80","tal-1A","FBgn0259730",8.1
"81","tal-2A","FBgn0259731",8.1
"82","tal-3A","FBgn0259732",8.1
"83","tal-AA","FBgn0259733",8.1
"84","flr","FBgn0260049",10.2666666666667
"85","rhea","FBgn0260442",29.7666666666667
"86","p120ctn","FBgn0260799",62.5333333333333
"87","capt","FBgn0261458",46.4666666666667
"88","pico","FBgn0261811",102.533333333333
"89","Bsg","FBgn0261822",57.1666666666667
"90","Msp300","FBgn0261836",67.6666666666667
"91","Arp3","FBgn0262716",6.86666666666667
"92","Src64B","FBgn0262733",123.833333333333
"93","hts","FBgn0263391",166.266666666667
"94","sick","FBgn0263873",56.1
"95","spoon","FBgn0263987",49.9333333333333
"96","Ack-like","FBgn0263998",14.1666666666667
"97","Lst8","FBgn0264691",6.9
"98","zip","FBgn0265434",70.5333333333333
"99","coro","FBgn0265935",12.0333333333333
"100","sau","FBgn0267378",12.4666666666667
"101","Frl","FBgn0267795",32.4666666666667
"102","Vps4","FBgn0283469",4.86666666666667
